absolute_path,relative_path,class
D:\random_new_folder_for_data\dataset\5341.jpg,..\random_new_folder_for_data\dataset\5341.jpg,leopard
D:\random_new_folder_for_data\dataset\1836.jpg,..\random_new_folder_for_data\dataset\1836.jpg,leopard
D:\random_new_folder_for_data\dataset\3620.jpg,..\random_new_folder_for_data\dataset\3620.jpg,leopard
D:\random_new_folder_for_data\dataset\5080.jpg,..\random_new_folder_for_data\dataset\5080.jpg,leopard
D:\random_new_folder_for_data\dataset\8789.jpg,..\random_new_folder_for_data\dataset\8789.jpg,leopard
D:\random_new_folder_for_data\dataset\5314.jpg,..\random_new_folder_for_data\dataset\5314.jpg,leopard
D:\random_new_folder_for_data\dataset\2252.jpg,..\random_new_folder_for_data\dataset\2252.jpg,leopard
D:\random_new_folder_for_data\dataset\4931.jpg,..\random_new_folder_for_data\dataset\4931.jpg,leopard
D:\random_new_folder_for_data\dataset\7960.jpg,..\random_new_folder_for_data\dataset\7960.jpg,leopard
D:\random_new_folder_for_data\dataset\1051.jpg,..\random_new_folder_for_data\dataset\1051.jpg,leopard
D:\random_new_folder_for_data\dataset\3031.jpg,..\random_new_folder_for_data\dataset\3031.jpg,leopard
D:\random_new_folder_for_data\dataset\2353.jpg,..\random_new_folder_for_data\dataset\2353.jpg,leopard
D:\random_new_folder_for_data\dataset\8074.jpg,..\random_new_folder_for_data\dataset\8074.jpg,leopard
D:\random_new_folder_for_data\dataset\8971.jpg,..\random_new_folder_for_data\dataset\8971.jpg,leopard
D:\random_new_folder_for_data\dataset\2774.jpg,..\random_new_folder_for_data\dataset\2774.jpg,leopard
D:\random_new_folder_for_data\dataset\5658.jpg,..\random_new_folder_for_data\dataset\5658.jpg,leopard
D:\random_new_folder_for_data\dataset\684.jpg,..\random_new_folder_for_data\dataset\684.jpg,leopard
D:\random_new_folder_for_data\dataset\5335.jpg,..\random_new_folder_for_data\dataset\5335.jpg,leopard
D:\random_new_folder_for_data\dataset\2678.jpg,..\random_new_folder_for_data\dataset\2678.jpg,leopard
D:\random_new_folder_for_data\dataset\6978.jpg,..\random_new_folder_for_data\dataset\6978.jpg,leopard
D:\random_new_folder_for_data\dataset\3468.jpg,..\random_new_folder_for_data\dataset\3468.jpg,leopard
D:\random_new_folder_for_data\dataset\7347.jpg,..\random_new_folder_for_data\dataset\7347.jpg,leopard
D:\random_new_folder_for_data\dataset\938.jpg,..\random_new_folder_for_data\dataset\938.jpg,leopard
D:\random_new_folder_for_data\dataset\6402.jpg,..\random_new_folder_for_data\dataset\6402.jpg,leopard
D:\random_new_folder_for_data\dataset\453.jpg,..\random_new_folder_for_data\dataset\453.jpg,leopard
D:\random_new_folder_for_data\dataset\8285.jpg,..\random_new_folder_for_data\dataset\8285.jpg,leopard
D:\random_new_folder_for_data\dataset\2182.jpg,..\random_new_folder_for_data\dataset\2182.jpg,leopard
D:\random_new_folder_for_data\dataset\9502.jpg,..\random_new_folder_for_data\dataset\9502.jpg,leopard
D:\random_new_folder_for_data\dataset\7517.jpg,..\random_new_folder_for_data\dataset\7517.jpg,leopard
D:\random_new_folder_for_data\dataset\7624.jpg,..\random_new_folder_for_data\dataset\7624.jpg,leopard
D:\random_new_folder_for_data\dataset\9971.jpg,..\random_new_folder_for_data\dataset\9971.jpg,leopard
D:\random_new_folder_for_data\dataset\6876.jpg,..\random_new_folder_for_data\dataset\6876.jpg,leopard
D:\random_new_folder_for_data\dataset\9816.jpg,..\random_new_folder_for_data\dataset\9816.jpg,leopard
D:\random_new_folder_for_data\dataset\3580.jpg,..\random_new_folder_for_data\dataset\3580.jpg,leopard
D:\random_new_folder_for_data\dataset\7093.jpg,..\random_new_folder_for_data\dataset\7093.jpg,leopard
D:\random_new_folder_for_data\dataset\7541.jpg,..\random_new_folder_for_data\dataset\7541.jpg,leopard
D:\random_new_folder_for_data\dataset\879.jpg,..\random_new_folder_for_data\dataset\879.jpg,leopard
D:\random_new_folder_for_data\dataset\9091.jpg,..\random_new_folder_for_data\dataset\9091.jpg,leopard
D:\random_new_folder_for_data\dataset\6809.jpg,..\random_new_folder_for_data\dataset\6809.jpg,leopard
D:\random_new_folder_for_data\dataset\6923.jpg,..\random_new_folder_for_data\dataset\6923.jpg,leopard
D:\random_new_folder_for_data\dataset\6322.jpg,..\random_new_folder_for_data\dataset\6322.jpg,leopard
D:\random_new_folder_for_data\dataset\4310.jpg,..\random_new_folder_for_data\dataset\4310.jpg,leopard
D:\random_new_folder_for_data\dataset\9447.jpg,..\random_new_folder_for_data\dataset\9447.jpg,leopard
D:\random_new_folder_for_data\dataset\5484.jpg,..\random_new_folder_for_data\dataset\5484.jpg,leopard
D:\random_new_folder_for_data\dataset\3661.jpg,..\random_new_folder_for_data\dataset\3661.jpg,leopard
D:\random_new_folder_for_data\dataset\5546.jpg,..\random_new_folder_for_data\dataset\5546.jpg,leopard
D:\random_new_folder_for_data\dataset\4876.jpg,..\random_new_folder_for_data\dataset\4876.jpg,leopard
D:\random_new_folder_for_data\dataset\6496.jpg,..\random_new_folder_for_data\dataset\6496.jpg,leopard
D:\random_new_folder_for_data\dataset\6702.jpg,..\random_new_folder_for_data\dataset\6702.jpg,leopard
D:\random_new_folder_for_data\dataset\2816.jpg,..\random_new_folder_for_data\dataset\2816.jpg,leopard
D:\random_new_folder_for_data\dataset\8461.jpg,..\random_new_folder_for_data\dataset\8461.jpg,leopard
D:\random_new_folder_for_data\dataset\6301.jpg,..\random_new_folder_for_data\dataset\6301.jpg,leopard
D:\random_new_folder_for_data\dataset\9431.jpg,..\random_new_folder_for_data\dataset\9431.jpg,leopard
D:\random_new_folder_for_data\dataset\3563.jpg,..\random_new_folder_for_data\dataset\3563.jpg,leopard
D:\random_new_folder_for_data\dataset\4545.jpg,..\random_new_folder_for_data\dataset\4545.jpg,leopard
D:\random_new_folder_for_data\dataset\8975.jpg,..\random_new_folder_for_data\dataset\8975.jpg,leopard
D:\random_new_folder_for_data\dataset\5266.jpg,..\random_new_folder_for_data\dataset\5266.jpg,leopard
D:\random_new_folder_for_data\dataset\7200.jpg,..\random_new_folder_for_data\dataset\7200.jpg,leopard
D:\random_new_folder_for_data\dataset\4500.jpg,..\random_new_folder_for_data\dataset\4500.jpg,leopard
D:\random_new_folder_for_data\dataset\5687.jpg,..\random_new_folder_for_data\dataset\5687.jpg,leopard
D:\random_new_folder_for_data\dataset\7447.jpg,..\random_new_folder_for_data\dataset\7447.jpg,leopard
D:\random_new_folder_for_data\dataset\9304.jpg,..\random_new_folder_for_data\dataset\9304.jpg,leopard
D:\random_new_folder_for_data\dataset\7130.jpg,..\random_new_folder_for_data\dataset\7130.jpg,leopard
D:\random_new_folder_for_data\dataset\5872.jpg,..\random_new_folder_for_data\dataset\5872.jpg,leopard
D:\random_new_folder_for_data\dataset\4762.jpg,..\random_new_folder_for_data\dataset\4762.jpg,leopard
D:\random_new_folder_for_data\dataset\1781.jpg,..\random_new_folder_for_data\dataset\1781.jpg,leopard
D:\random_new_folder_for_data\dataset\6183.jpg,..\random_new_folder_for_data\dataset\6183.jpg,leopard
D:\random_new_folder_for_data\dataset\6485.jpg,..\random_new_folder_for_data\dataset\6485.jpg,leopard
D:\random_new_folder_for_data\dataset\4840.jpg,..\random_new_folder_for_data\dataset\4840.jpg,leopard
D:\random_new_folder_for_data\dataset\4418.jpg,..\random_new_folder_for_data\dataset\4418.jpg,leopard
D:\random_new_folder_for_data\dataset\486.jpg,..\random_new_folder_for_data\dataset\486.jpg,leopard
D:\random_new_folder_for_data\dataset\4658.jpg,..\random_new_folder_for_data\dataset\4658.jpg,leopard
D:\random_new_folder_for_data\dataset\3976.jpg,..\random_new_folder_for_data\dataset\3976.jpg,leopard
D:\random_new_folder_for_data\dataset\1928.jpg,..\random_new_folder_for_data\dataset\1928.jpg,leopard
D:\random_new_folder_for_data\dataset\2773.jpg,..\random_new_folder_for_data\dataset\2773.jpg,leopard
D:\random_new_folder_for_data\dataset\9837.jpg,..\random_new_folder_for_data\dataset\9837.jpg,leopard
D:\random_new_folder_for_data\dataset\4659.jpg,..\random_new_folder_for_data\dataset\4659.jpg,leopard
D:\random_new_folder_for_data\dataset\9157.jpg,..\random_new_folder_for_data\dataset\9157.jpg,leopard
D:\random_new_folder_for_data\dataset\4729.jpg,..\random_new_folder_for_data\dataset\4729.jpg,leopard
D:\random_new_folder_for_data\dataset\6032.jpg,..\random_new_folder_for_data\dataset\6032.jpg,leopard
D:\random_new_folder_for_data\dataset\7642.jpg,..\random_new_folder_for_data\dataset\7642.jpg,leopard
D:\random_new_folder_for_data\dataset\8504.jpg,..\random_new_folder_for_data\dataset\8504.jpg,leopard
D:\random_new_folder_for_data\dataset\1083.jpg,..\random_new_folder_for_data\dataset\1083.jpg,leopard
D:\random_new_folder_for_data\dataset\5554.jpg,..\random_new_folder_for_data\dataset\5554.jpg,leopard
D:\random_new_folder_for_data\dataset\7632.jpg,..\random_new_folder_for_data\dataset\7632.jpg,leopard
D:\random_new_folder_for_data\dataset\2805.jpg,..\random_new_folder_for_data\dataset\2805.jpg,leopard
D:\random_new_folder_for_data\dataset\3531.jpg,..\random_new_folder_for_data\dataset\3531.jpg,leopard
D:\random_new_folder_for_data\dataset\5302.jpg,..\random_new_folder_for_data\dataset\5302.jpg,leopard
D:\random_new_folder_for_data\dataset\2919.jpg,..\random_new_folder_for_data\dataset\2919.jpg,leopard
D:\random_new_folder_for_data\dataset\7135.jpg,..\random_new_folder_for_data\dataset\7135.jpg,leopard
D:\random_new_folder_for_data\dataset\1265.jpg,..\random_new_folder_for_data\dataset\1265.jpg,leopard
D:\random_new_folder_for_data\dataset\9576.jpg,..\random_new_folder_for_data\dataset\9576.jpg,leopard
D:\random_new_folder_for_data\dataset\7456.jpg,..\random_new_folder_for_data\dataset\7456.jpg,leopard
D:\random_new_folder_for_data\dataset\6683.jpg,..\random_new_folder_for_data\dataset\6683.jpg,leopard
D:\random_new_folder_for_data\dataset\7713.jpg,..\random_new_folder_for_data\dataset\7713.jpg,leopard
D:\random_new_folder_for_data\dataset\3430.jpg,..\random_new_folder_for_data\dataset\3430.jpg,leopard
D:\random_new_folder_for_data\dataset\9720.jpg,..\random_new_folder_for_data\dataset\9720.jpg,leopard
D:\random_new_folder_for_data\dataset\9620.jpg,..\random_new_folder_for_data\dataset\9620.jpg,leopard
D:\random_new_folder_for_data\dataset\925.jpg,..\random_new_folder_for_data\dataset\925.jpg,leopard
D:\random_new_folder_for_data\dataset\9606.jpg,..\random_new_folder_for_data\dataset\9606.jpg,leopard
D:\random_new_folder_for_data\dataset\6697.jpg,..\random_new_folder_for_data\dataset\6697.jpg,leopard
D:\random_new_folder_for_data\dataset\4784.jpg,..\random_new_folder_for_data\dataset\4784.jpg,leopard
D:\random_new_folder_for_data\dataset\2203.jpg,..\random_new_folder_for_data\dataset\2203.jpg,leopard
D:\random_new_folder_for_data\dataset\3226.jpg,..\random_new_folder_for_data\dataset\3226.jpg,leopard
D:\random_new_folder_for_data\dataset\3608.jpg,..\random_new_folder_for_data\dataset\3608.jpg,leopard
D:\random_new_folder_for_data\dataset\7486.jpg,..\random_new_folder_for_data\dataset\7486.jpg,leopard
D:\random_new_folder_for_data\dataset\1140.jpg,..\random_new_folder_for_data\dataset\1140.jpg,leopard
D:\random_new_folder_for_data\dataset\8296.jpg,..\random_new_folder_for_data\dataset\8296.jpg,leopard
D:\random_new_folder_for_data\dataset\2590.jpg,..\random_new_folder_for_data\dataset\2590.jpg,leopard
D:\random_new_folder_for_data\dataset\8625.jpg,..\random_new_folder_for_data\dataset\8625.jpg,leopard
D:\random_new_folder_for_data\dataset\1194.jpg,..\random_new_folder_for_data\dataset\1194.jpg,leopard
D:\random_new_folder_for_data\dataset\5570.jpg,..\random_new_folder_for_data\dataset\5570.jpg,leopard
D:\random_new_folder_for_data\dataset\5773.jpg,..\random_new_folder_for_data\dataset\5773.jpg,leopard
D:\random_new_folder_for_data\dataset\9003.jpg,..\random_new_folder_for_data\dataset\9003.jpg,leopard
D:\random_new_folder_for_data\dataset\1033.jpg,..\random_new_folder_for_data\dataset\1033.jpg,leopard
D:\random_new_folder_for_data\dataset\5550.jpg,..\random_new_folder_for_data\dataset\5550.jpg,leopard
D:\random_new_folder_for_data\dataset\9665.jpg,..\random_new_folder_for_data\dataset\9665.jpg,leopard
D:\random_new_folder_for_data\dataset\6847.jpg,..\random_new_folder_for_data\dataset\6847.jpg,leopard
D:\random_new_folder_for_data\dataset\8524.jpg,..\random_new_folder_for_data\dataset\8524.jpg,leopard
D:\random_new_folder_for_data\dataset\8874.jpg,..\random_new_folder_for_data\dataset\8874.jpg,leopard
D:\random_new_folder_for_data\dataset\1892.jpg,..\random_new_folder_for_data\dataset\1892.jpg,leopard
D:\random_new_folder_for_data\dataset\7325.jpg,..\random_new_folder_for_data\dataset\7325.jpg,leopard
D:\random_new_folder_for_data\dataset\9839.jpg,..\random_new_folder_for_data\dataset\9839.jpg,leopard
D:\random_new_folder_for_data\dataset\6688.jpg,..\random_new_folder_for_data\dataset\6688.jpg,leopard
D:\random_new_folder_for_data\dataset\5802.jpg,..\random_new_folder_for_data\dataset\5802.jpg,leopard
D:\random_new_folder_for_data\dataset\2349.jpg,..\random_new_folder_for_data\dataset\2349.jpg,leopard
D:\random_new_folder_for_data\dataset\3364.jpg,..\random_new_folder_for_data\dataset\3364.jpg,leopard
D:\random_new_folder_for_data\dataset\8206.jpg,..\random_new_folder_for_data\dataset\8206.jpg,leopard
D:\random_new_folder_for_data\dataset\1807.jpg,..\random_new_folder_for_data\dataset\1807.jpg,leopard
D:\random_new_folder_for_data\dataset\5586.jpg,..\random_new_folder_for_data\dataset\5586.jpg,leopard
D:\random_new_folder_for_data\dataset\463.jpg,..\random_new_folder_for_data\dataset\463.jpg,leopard
D:\random_new_folder_for_data\dataset\4141.jpg,..\random_new_folder_for_data\dataset\4141.jpg,leopard
D:\random_new_folder_for_data\dataset\1954.jpg,..\random_new_folder_for_data\dataset\1954.jpg,leopard
D:\random_new_folder_for_data\dataset\9904.jpg,..\random_new_folder_for_data\dataset\9904.jpg,leopard
D:\random_new_folder_for_data\dataset\6652.jpg,..\random_new_folder_for_data\dataset\6652.jpg,leopard
D:\random_new_folder_for_data\dataset\7885.jpg,..\random_new_folder_for_data\dataset\7885.jpg,leopard
D:\random_new_folder_for_data\dataset\2231.jpg,..\random_new_folder_for_data\dataset\2231.jpg,leopard
D:\random_new_folder_for_data\dataset\8995.jpg,..\random_new_folder_for_data\dataset\8995.jpg,leopard
D:\random_new_folder_for_data\dataset\6724.jpg,..\random_new_folder_for_data\dataset\6724.jpg,leopard
D:\random_new_folder_for_data\dataset\386.jpg,..\random_new_folder_for_data\dataset\386.jpg,leopard
D:\random_new_folder_for_data\dataset\2032.jpg,..\random_new_folder_for_data\dataset\2032.jpg,leopard
D:\random_new_folder_for_data\dataset\9172.jpg,..\random_new_folder_for_data\dataset\9172.jpg,leopard
D:\random_new_folder_for_data\dataset\5577.jpg,..\random_new_folder_for_data\dataset\5577.jpg,leopard
D:\random_new_folder_for_data\dataset\4841.jpg,..\random_new_folder_for_data\dataset\4841.jpg,leopard
D:\random_new_folder_for_data\dataset\2240.jpg,..\random_new_folder_for_data\dataset\2240.jpg,leopard
D:\random_new_folder_for_data\dataset\2437.jpg,..\random_new_folder_for_data\dataset\2437.jpg,leopard
D:\random_new_folder_for_data\dataset\2641.jpg,..\random_new_folder_for_data\dataset\2641.jpg,leopard
D:\random_new_folder_for_data\dataset\6012.jpg,..\random_new_folder_for_data\dataset\6012.jpg,leopard
D:\random_new_folder_for_data\dataset\6174.jpg,..\random_new_folder_for_data\dataset\6174.jpg,leopard
D:\random_new_folder_for_data\dataset\4365.jpg,..\random_new_folder_for_data\dataset\4365.jpg,leopard
D:\random_new_folder_for_data\dataset\2707.jpg,..\random_new_folder_for_data\dataset\2707.jpg,leopard
D:\random_new_folder_for_data\dataset\4463.jpg,..\random_new_folder_for_data\dataset\4463.jpg,leopard
D:\random_new_folder_for_data\dataset\2372.jpg,..\random_new_folder_for_data\dataset\2372.jpg,leopard
D:\random_new_folder_for_data\dataset\2599.jpg,..\random_new_folder_for_data\dataset\2599.jpg,leopard
D:\random_new_folder_for_data\dataset\3316.jpg,..\random_new_folder_for_data\dataset\3316.jpg,leopard
D:\random_new_folder_for_data\dataset\43.jpg,..\random_new_folder_for_data\dataset\43.jpg,leopard
D:\random_new_folder_for_data\dataset\5405.jpg,..\random_new_folder_for_data\dataset\5405.jpg,leopard
D:\random_new_folder_for_data\dataset\6269.jpg,..\random_new_folder_for_data\dataset\6269.jpg,leopard
D:\random_new_folder_for_data\dataset\588.jpg,..\random_new_folder_for_data\dataset\588.jpg,leopard
D:\random_new_folder_for_data\dataset\4347.jpg,..\random_new_folder_for_data\dataset\4347.jpg,leopard
D:\random_new_folder_for_data\dataset\2479.jpg,..\random_new_folder_for_data\dataset\2479.jpg,leopard
D:\random_new_folder_for_data\dataset\9079.jpg,..\random_new_folder_for_data\dataset\9079.jpg,leopard
D:\random_new_folder_for_data\dataset\8102.jpg,..\random_new_folder_for_data\dataset\8102.jpg,leopard
D:\random_new_folder_for_data\dataset\5232.jpg,..\random_new_folder_for_data\dataset\5232.jpg,leopard
D:\random_new_folder_for_data\dataset\2754.jpg,..\random_new_folder_for_data\dataset\2754.jpg,leopard
D:\random_new_folder_for_data\dataset\1273.jpg,..\random_new_folder_for_data\dataset\1273.jpg,leopard
D:\random_new_folder_for_data\dataset\3254.jpg,..\random_new_folder_for_data\dataset\3254.jpg,leopard
D:\random_new_folder_for_data\dataset\4451.jpg,..\random_new_folder_for_data\dataset\4451.jpg,leopard
D:\random_new_folder_for_data\dataset\509.jpg,..\random_new_folder_for_data\dataset\509.jpg,leopard
