absolute_path,relative_path,class
D:\python\dataset\leopard\0055.jpg,dataset\leopard\0055.jpg,leopard
D:\python\dataset\leopard\0056.jpg,dataset\leopard\0056.jpg,leopard
D:\python\dataset\leopard\0057.jpg,dataset\leopard\0057.jpg,leopard
D:\python\dataset\leopard\0058.jpg,dataset\leopard\0058.jpg,leopard
D:\python\dataset\leopard\0059.jpg,dataset\leopard\0059.jpg,leopard
D:\python\dataset\leopard\0060.jpg,dataset\leopard\0060.jpg,leopard
D:\python\dataset\leopard\0061.jpg,dataset\leopard\0061.jpg,leopard
D:\python\dataset\leopard\0062.jpg,dataset\leopard\0062.jpg,leopard
D:\python\dataset\leopard\0063.jpg,dataset\leopard\0063.jpg,leopard
D:\python\dataset\leopard\0064.jpg,dataset\leopard\0064.jpg,leopard
D:\python\dataset\leopard\0065.jpg,dataset\leopard\0065.jpg,leopard
D:\python\dataset\leopard\0066.jpg,dataset\leopard\0066.jpg,leopard
D:\python\dataset\leopard\0067.jpg,dataset\leopard\0067.jpg,leopard
D:\python\dataset\leopard\0068.jpg,dataset\leopard\0068.jpg,leopard
D:\python\dataset\leopard\0069.jpg,dataset\leopard\0069.jpg,leopard
D:\python\dataset\leopard\0070.jpg,dataset\leopard\0070.jpg,leopard
D:\python\dataset\leopard\0071.jpg,dataset\leopard\0071.jpg,leopard
D:\python\dataset\leopard\0072.jpg,dataset\leopard\0072.jpg,leopard
D:\python\dataset\leopard\0073.jpg,dataset\leopard\0073.jpg,leopard
D:\python\dataset\leopard\0074.jpg,dataset\leopard\0074.jpg,leopard
D:\python\dataset\leopard\0075.jpg,dataset\leopard\0075.jpg,leopard
D:\python\dataset\leopard\0076.jpg,dataset\leopard\0076.jpg,leopard
D:\python\dataset\leopard\0077.jpg,dataset\leopard\0077.jpg,leopard
D:\python\dataset\leopard\0078.jpg,dataset\leopard\0078.jpg,leopard
D:\python\dataset\leopard\0079.jpg,dataset\leopard\0079.jpg,leopard
D:\python\dataset\leopard\0080.jpg,dataset\leopard\0080.jpg,leopard
D:\python\dataset\leopard\0081.jpg,dataset\leopard\0081.jpg,leopard
D:\python\dataset\leopard\0082.jpg,dataset\leopard\0082.jpg,leopard
D:\python\dataset\leopard\0083.jpg,dataset\leopard\0083.jpg,leopard
D:\python\dataset\leopard\0084.jpg,dataset\leopard\0084.jpg,leopard
D:\python\dataset\leopard\0085.jpg,dataset\leopard\0085.jpg,leopard
D:\python\dataset\leopard\0086.jpg,dataset\leopard\0086.jpg,leopard
D:\python\dataset\leopard\0087.jpg,dataset\leopard\0087.jpg,leopard
D:\python\dataset\leopard\0088.jpg,dataset\leopard\0088.jpg,leopard
D:\python\dataset\leopard\0089.jpg,dataset\leopard\0089.jpg,leopard
D:\python\dataset\leopard\0090.jpg,dataset\leopard\0090.jpg,leopard
D:\python\dataset\leopard\0091.jpg,dataset\leopard\0091.jpg,leopard
D:\python\dataset\leopard\0092.jpg,dataset\leopard\0092.jpg,leopard
D:\python\dataset\leopard\0093.jpg,dataset\leopard\0093.jpg,leopard
D:\python\dataset\leopard\0094.jpg,dataset\leopard\0094.jpg,leopard
D:\python\dataset\leopard\0095.jpg,dataset\leopard\0095.jpg,leopard
D:\python\dataset\leopard\0096.jpg,dataset\leopard\0096.jpg,leopard
D:\python\dataset\leopard\0097.jpg,dataset\leopard\0097.jpg,leopard
D:\python\dataset\leopard\0098.jpg,dataset\leopard\0098.jpg,leopard
D:\python\dataset\leopard\0099.jpg,dataset\leopard\0099.jpg,leopard
D:\python\dataset\leopard\0100.jpg,dataset\leopard\0100.jpg,leopard
D:\python\dataset\leopard\0101.jpg,dataset\leopard\0101.jpg,leopard
D:\python\dataset\leopard\0102.jpg,dataset\leopard\0102.jpg,leopard
D:\python\dataset\leopard\0103.jpg,dataset\leopard\0103.jpg,leopard
D:\python\dataset\leopard\0104.jpg,dataset\leopard\0104.jpg,leopard
D:\python\dataset\leopard\0105.jpg,dataset\leopard\0105.jpg,leopard
D:\python\dataset\leopard\0106.jpg,dataset\leopard\0106.jpg,leopard
D:\python\dataset\leopard\0107.jpg,dataset\leopard\0107.jpg,leopard
D:\python\dataset\leopard\0108.jpg,dataset\leopard\0108.jpg,leopard
D:\python\dataset\leopard\0109.jpg,dataset\leopard\0109.jpg,leopard
D:\python\dataset\leopard\0110.jpg,dataset\leopard\0110.jpg,leopard
D:\python\dataset\leopard\0111.jpg,dataset\leopard\0111.jpg,leopard
D:\python\dataset\leopard\0112.jpg,dataset\leopard\0112.jpg,leopard
D:\python\dataset\leopard\0113.jpg,dataset\leopard\0113.jpg,leopard
D:\python\dataset\leopard\0114.jpg,dataset\leopard\0114.jpg,leopard
D:\python\dataset\leopard\0115.jpg,dataset\leopard\0115.jpg,leopard
D:\python\dataset\leopard\0116.jpg,dataset\leopard\0116.jpg,leopard
D:\python\dataset\leopard\0117.jpg,dataset\leopard\0117.jpg,leopard
D:\python\dataset\leopard\0118.jpg,dataset\leopard\0118.jpg,leopard
D:\python\dataset\leopard\0119.jpg,dataset\leopard\0119.jpg,leopard
D:\python\dataset\leopard\0120.jpg,dataset\leopard\0120.jpg,leopard
D:\python\dataset\leopard\0121.jpg,dataset\leopard\0121.jpg,leopard
D:\python\dataset\leopard\0122.jpg,dataset\leopard\0122.jpg,leopard
D:\python\dataset\leopard\0123.jpg,dataset\leopard\0123.jpg,leopard
D:\python\dataset\leopard\0124.jpg,dataset\leopard\0124.jpg,leopard
D:\python\dataset\leopard\0125.jpg,dataset\leopard\0125.jpg,leopard
D:\python\dataset\leopard\0126.jpg,dataset\leopard\0126.jpg,leopard
D:\python\dataset\leopard\0127.jpg,dataset\leopard\0127.jpg,leopard
D:\python\dataset\leopard\0128.jpg,dataset\leopard\0128.jpg,leopard
D:\python\dataset\leopard\0129.jpg,dataset\leopard\0129.jpg,leopard
D:\python\dataset\leopard\0130.jpg,dataset\leopard\0130.jpg,leopard
D:\python\dataset\leopard\0131.jpg,dataset\leopard\0131.jpg,leopard
D:\python\dataset\leopard\0132.jpg,dataset\leopard\0132.jpg,leopard
D:\python\dataset\leopard\0133.jpg,dataset\leopard\0133.jpg,leopard
D:\python\dataset\leopard\0134.jpg,dataset\leopard\0134.jpg,leopard
D:\python\dataset\leopard\0135.jpg,dataset\leopard\0135.jpg,leopard
D:\python\dataset\leopard\0136.jpg,dataset\leopard\0136.jpg,leopard
D:\python\dataset\leopard\0137.jpg,dataset\leopard\0137.jpg,leopard
D:\python\dataset\leopard\0138.jpg,dataset\leopard\0138.jpg,leopard
D:\python\dataset\leopard\0139.jpg,dataset\leopard\0139.jpg,leopard
D:\python\dataset\leopard\0140.jpg,dataset\leopard\0140.jpg,leopard
D:\python\dataset\leopard\0141.jpg,dataset\leopard\0141.jpg,leopard
D:\python\dataset\leopard\0142.jpg,dataset\leopard\0142.jpg,leopard
D:\python\dataset\leopard\0143.jpg,dataset\leopard\0143.jpg,leopard
D:\python\dataset\leopard\0144.jpg,dataset\leopard\0144.jpg,leopard
D:\python\dataset\leopard\0145.jpg,dataset\leopard\0145.jpg,leopard
D:\python\dataset\leopard\0146.jpg,dataset\leopard\0146.jpg,leopard
D:\python\dataset\leopard\0147.jpg,dataset\leopard\0147.jpg,leopard
D:\python\dataset\leopard\0148.jpg,dataset\leopard\0148.jpg,leopard
D:\python\dataset\leopard\0149.jpg,dataset\leopard\0149.jpg,leopard
D:\python\dataset\leopard\0150.jpg,dataset\leopard\0150.jpg,leopard
D:\python\dataset\leopard\0151.jpg,dataset\leopard\0151.jpg,leopard
D:\python\dataset\leopard\0152.jpg,dataset\leopard\0152.jpg,leopard
D:\python\dataset\leopard\0153.jpg,dataset\leopard\0153.jpg,leopard
D:\python\dataset\leopard\0154.jpg,dataset\leopard\0154.jpg,leopard
D:\python\dataset\leopard\0155.jpg,dataset\leopard\0155.jpg,leopard
D:\python\dataset\leopard\0156.jpg,dataset\leopard\0156.jpg,leopard
D:\python\dataset\leopard\0157.jpg,dataset\leopard\0157.jpg,leopard
D:\python\dataset\leopard\0158.jpg,dataset\leopard\0158.jpg,leopard
D:\python\dataset\leopard\0159.jpg,dataset\leopard\0159.jpg,leopard
D:\python\dataset\leopard\0160.jpg,dataset\leopard\0160.jpg,leopard
D:\python\dataset\leopard\0161.jpg,dataset\leopard\0161.jpg,leopard
D:\python\dataset\leopard\0162.jpg,dataset\leopard\0162.jpg,leopard
D:\python\dataset\leopard\0163.jpg,dataset\leopard\0163.jpg,leopard
D:\python\dataset\leopard\0164.jpg,dataset\leopard\0164.jpg,leopard
D:\python\dataset\leopard\0165.jpg,dataset\leopard\0165.jpg,leopard
D:\python\dataset\leopard\0166.jpg,dataset\leopard\0166.jpg,leopard
D:\python\dataset\leopard\0167.jpg,dataset\leopard\0167.jpg,leopard
D:\python\dataset\leopard\0168.jpg,dataset\leopard\0168.jpg,leopard
D:\python\dataset\leopard\0169.jpg,dataset\leopard\0169.jpg,leopard
D:\python\dataset\leopard\0170.jpg,dataset\leopard\0170.jpg,leopard
D:\python\dataset\leopard\0171.jpg,dataset\leopard\0171.jpg,leopard
D:\python\dataset\leopard\0172.jpg,dataset\leopard\0172.jpg,leopard
D:\python\dataset\leopard\0173.jpg,dataset\leopard\0173.jpg,leopard
D:\python\dataset\leopard\0174.jpg,dataset\leopard\0174.jpg,leopard
D:\python\dataset\leopard\0175.jpg,dataset\leopard\0175.jpg,leopard
D:\python\dataset\leopard\0176.jpg,dataset\leopard\0176.jpg,leopard
D:\python\dataset\leopard\0177.jpg,dataset\leopard\0177.jpg,leopard
D:\python\dataset\leopard\0178.jpg,dataset\leopard\0178.jpg,leopard
D:\python\dataset\leopard\0179.jpg,dataset\leopard\0179.jpg,leopard
D:\python\dataset\leopard\0180.jpg,dataset\leopard\0180.jpg,leopard
D:\python\dataset\leopard\0181.jpg,dataset\leopard\0181.jpg,leopard
D:\python\dataset\leopard\0182.jpg,dataset\leopard\0182.jpg,leopard
D:\python\dataset\leopard\0183.jpg,dataset\leopard\0183.jpg,leopard
D:\python\dataset\leopard\0184.jpg,dataset\leopard\0184.jpg,leopard
D:\python\dataset\leopard\0185.jpg,dataset\leopard\0185.jpg,leopard
D:\python\dataset\leopard\0186.jpg,dataset\leopard\0186.jpg,leopard
D:\python\dataset\leopard\0187.jpg,dataset\leopard\0187.jpg,leopard
D:\python\dataset\leopard\0188.jpg,dataset\leopard\0188.jpg,leopard
D:\python\dataset\leopard\0189.jpg,dataset\leopard\0189.jpg,leopard
D:\python\dataset\leopard\0190.jpg,dataset\leopard\0190.jpg,leopard
D:\python\dataset\leopard\0191.jpg,dataset\leopard\0191.jpg,leopard
D:\python\dataset\leopard\0192.jpg,dataset\leopard\0192.jpg,leopard
D:\python\dataset\leopard\0193.jpg,dataset\leopard\0193.jpg,leopard
D:\python\dataset\leopard\0194.jpg,dataset\leopard\0194.jpg,leopard
D:\python\dataset\leopard\0195.jpg,dataset\leopard\0195.jpg,leopard
D:\python\dataset\leopard\0196.jpg,dataset\leopard\0196.jpg,leopard
D:\python\dataset\leopard\0197.jpg,dataset\leopard\0197.jpg,leopard
D:\python\dataset\leopard\0198.jpg,dataset\leopard\0198.jpg,leopard
D:\python\dataset\leopard\0199.jpg,dataset\leopard\0199.jpg,leopard
D:\python\dataset\leopard\0200.jpg,dataset\leopard\0200.jpg,leopard
D:\python\dataset\leopard\0201.jpg,dataset\leopard\0201.jpg,leopard
D:\python\dataset\leopard\0202.jpg,dataset\leopard\0202.jpg,leopard
D:\python\dataset\leopard\0203.jpg,dataset\leopard\0203.jpg,leopard
D:\python\dataset\leopard\0204.jpg,dataset\leopard\0204.jpg,leopard
D:\python\dataset\leopard\0205.jpg,dataset\leopard\0205.jpg,leopard
D:\python\dataset\leopard\0206.jpg,dataset\leopard\0206.jpg,leopard
D:\python\dataset\leopard\0207.jpg,dataset\leopard\0207.jpg,leopard
D:\python\dataset\leopard\0208.jpg,dataset\leopard\0208.jpg,leopard
D:\python\dataset\leopard\0209.jpg,dataset\leopard\0209.jpg,leopard
D:\python\dataset\leopard\0210.jpg,dataset\leopard\0210.jpg,leopard
D:\python\dataset\leopard\0211.jpg,dataset\leopard\0211.jpg,leopard
D:\python\dataset\leopard\0212.jpg,dataset\leopard\0212.jpg,leopard
D:\python\dataset\leopard\0213.jpg,dataset\leopard\0213.jpg,leopard
D:\python\dataset\leopard\0214.jpg,dataset\leopard\0214.jpg,leopard
D:\python\dataset\leopard\0215.jpg,dataset\leopard\0215.jpg,leopard
D:\python\dataset\leopard\0216.jpg,dataset\leopard\0216.jpg,leopard
D:\python\dataset\leopard\0217.jpg,dataset\leopard\0217.jpg,leopard
D:\python\dataset\leopard\0218.jpg,dataset\leopard\0218.jpg,leopard
D:\python\dataset\leopard\0219.jpg,dataset\leopard\0219.jpg,leopard
D:\python\dataset\leopard\0220.jpg,dataset\leopard\0220.jpg,leopard
D:\python\dataset\leopard\0221.jpg,dataset\leopard\0221.jpg,leopard
D:\python\dataset\leopard\0222.jpg,dataset\leopard\0222.jpg,leopard
D:\python\dataset\leopard\0223.jpg,dataset\leopard\0223.jpg,leopard
D:\python\dataset\leopard\0224.jpg,dataset\leopard\0224.jpg,leopard
D:\python\dataset\leopard\0225.jpg,dataset\leopard\0225.jpg,leopard
D:\python\dataset\leopard\0226.jpg,dataset\leopard\0226.jpg,leopard
D:\python\dataset\leopard\0227.jpg,dataset\leopard\0227.jpg,leopard
D:\python\dataset\leopard\0228.jpg,dataset\leopard\0228.jpg,leopard
D:\python\dataset\leopard\0229.jpg,dataset\leopard\0229.jpg,leopard
D:\python\dataset\leopard\0230.jpg,dataset\leopard\0230.jpg,leopard
D:\python\dataset\leopard\0231.jpg,dataset\leopard\0231.jpg,leopard
D:\python\dataset\leopard\0232.jpg,dataset\leopard\0232.jpg,leopard
D:\python\dataset\leopard\0233.jpg,dataset\leopard\0233.jpg,leopard
D:\python\dataset\leopard\0234.jpg,dataset\leopard\0234.jpg,leopard
D:\python\dataset\leopard\0235.jpg,dataset\leopard\0235.jpg,leopard
D:\python\dataset\leopard\0236.jpg,dataset\leopard\0236.jpg,leopard
D:\python\dataset\leopard\0237.jpg,dataset\leopard\0237.jpg,leopard
D:\python\dataset\leopard\0238.jpg,dataset\leopard\0238.jpg,leopard
D:\python\dataset\leopard\0239.jpg,dataset\leopard\0239.jpg,leopard
D:\python\dataset\leopard\0240.jpg,dataset\leopard\0240.jpg,leopard
D:\python\dataset\leopard\0241.jpg,dataset\leopard\0241.jpg,leopard
D:\python\dataset\leopard\0242.jpg,dataset\leopard\0242.jpg,leopard
D:\python\dataset\leopard\0243.jpg,dataset\leopard\0243.jpg,leopard
D:\python\dataset\leopard\0244.jpg,dataset\leopard\0244.jpg,leopard
D:\python\dataset\leopard\0245.jpg,dataset\leopard\0245.jpg,leopard
D:\python\dataset\leopard\0246.jpg,dataset\leopard\0246.jpg,leopard
D:\python\dataset\leopard\0247.jpg,dataset\leopard\0247.jpg,leopard
D:\python\dataset\leopard\0248.jpg,dataset\leopard\0248.jpg,leopard
D:\python\dataset\leopard\0249.jpg,dataset\leopard\0249.jpg,leopard
D:\python\dataset\leopard\0250.jpg,dataset\leopard\0250.jpg,leopard
D:\python\dataset\leopard\0251.jpg,dataset\leopard\0251.jpg,leopard
D:\python\dataset\leopard\0252.jpg,dataset\leopard\0252.jpg,leopard
D:\python\dataset\leopard\0253.jpg,dataset\leopard\0253.jpg,leopard
D:\python\dataset\leopard\0254.jpg,dataset\leopard\0254.jpg,leopard
D:\python\dataset\leopard\0255.jpg,dataset\leopard\0255.jpg,leopard
D:\python\dataset\leopard\0256.jpg,dataset\leopard\0256.jpg,leopard
D:\python\dataset\leopard\0257.jpg,dataset\leopard\0257.jpg,leopard
D:\python\dataset\leopard\0258.jpg,dataset\leopard\0258.jpg,leopard
D:\python\dataset\leopard\0259.jpg,dataset\leopard\0259.jpg,leopard
D:\python\dataset\leopard\0260.jpg,dataset\leopard\0260.jpg,leopard
D:\python\dataset\leopard\0261.jpg,dataset\leopard\0261.jpg,leopard
D:\python\dataset\leopard\0262.jpg,dataset\leopard\0262.jpg,leopard
D:\python\dataset\leopard\0263.jpg,dataset\leopard\0263.jpg,leopard
D:\python\dataset\leopard\0264.jpg,dataset\leopard\0264.jpg,leopard
D:\python\dataset\leopard\0265.jpg,dataset\leopard\0265.jpg,leopard
D:\python\dataset\leopard\0266.jpg,dataset\leopard\0266.jpg,leopard
D:\python\dataset\leopard\0267.jpg,dataset\leopard\0267.jpg,leopard
D:\python\dataset\leopard\0268.jpg,dataset\leopard\0268.jpg,leopard
D:\python\dataset\leopard\0269.jpg,dataset\leopard\0269.jpg,leopard
D:\python\dataset\leopard\0270.jpg,dataset\leopard\0270.jpg,leopard
D:\python\dataset\leopard\0271.jpg,dataset\leopard\0271.jpg,leopard
D:\python\dataset\leopard\0272.jpg,dataset\leopard\0272.jpg,leopard
D:\python\dataset\leopard\0273.jpg,dataset\leopard\0273.jpg,leopard
D:\python\dataset\leopard\0274.jpg,dataset\leopard\0274.jpg,leopard
D:\python\dataset\leopard\0275.jpg,dataset\leopard\0275.jpg,leopard
D:\python\dataset\leopard\0276.jpg,dataset\leopard\0276.jpg,leopard
D:\python\dataset\leopard\0277.jpg,dataset\leopard\0277.jpg,leopard
D:\python\dataset\leopard\0278.jpg,dataset\leopard\0278.jpg,leopard
D:\python\dataset\leopard\0279.jpg,dataset\leopard\0279.jpg,leopard
D:\python\dataset\leopard\0280.jpg,dataset\leopard\0280.jpg,leopard
D:\python\dataset\leopard\0281.jpg,dataset\leopard\0281.jpg,leopard
D:\python\dataset\leopard\0282.jpg,dataset\leopard\0282.jpg,leopard
D:\python\dataset\leopard\0283.jpg,dataset\leopard\0283.jpg,leopard
D:\python\dataset\leopard\0284.jpg,dataset\leopard\0284.jpg,leopard
D:\python\dataset\leopard\0285.jpg,dataset\leopard\0285.jpg,leopard
D:\python\dataset\leopard\0286.jpg,dataset\leopard\0286.jpg,leopard
D:\python\dataset\leopard\0287.jpg,dataset\leopard\0287.jpg,leopard
D:\python\dataset\leopard\0288.jpg,dataset\leopard\0288.jpg,leopard
D:\python\dataset\leopard\0289.jpg,dataset\leopard\0289.jpg,leopard
D:\python\dataset\leopard\0290.jpg,dataset\leopard\0290.jpg,leopard
D:\python\dataset\leopard\0291.jpg,dataset\leopard\0291.jpg,leopard
D:\python\dataset\leopard\0292.jpg,dataset\leopard\0292.jpg,leopard
D:\python\dataset\leopard\0293.jpg,dataset\leopard\0293.jpg,leopard
D:\python\dataset\leopard\0294.jpg,dataset\leopard\0294.jpg,leopard
D:\python\dataset\leopard\0295.jpg,dataset\leopard\0295.jpg,leopard
D:\python\dataset\leopard\0296.jpg,dataset\leopard\0296.jpg,leopard
D:\python\dataset\leopard\0297.jpg,dataset\leopard\0297.jpg,leopard
D:\python\dataset\leopard\0298.jpg,dataset\leopard\0298.jpg,leopard
D:\python\dataset\leopard\0299.jpg,dataset\leopard\0299.jpg,leopard
D:\python\dataset\leopard\0300.jpg,dataset\leopard\0300.jpg,leopard
D:\python\dataset\leopard\0301.jpg,dataset\leopard\0301.jpg,leopard
D:\python\dataset\leopard\0302.jpg,dataset\leopard\0302.jpg,leopard
D:\python\dataset\leopard\0303.jpg,dataset\leopard\0303.jpg,leopard
D:\python\dataset\leopard\0304.jpg,dataset\leopard\0304.jpg,leopard
D:\python\dataset\leopard\0305.jpg,dataset\leopard\0305.jpg,leopard
D:\python\dataset\leopard\0306.jpg,dataset\leopard\0306.jpg,leopard
D:\python\dataset\leopard\0307.jpg,dataset\leopard\0307.jpg,leopard
D:\python\dataset\leopard\0308.jpg,dataset\leopard\0308.jpg,leopard
D:\python\dataset\leopard\0309.jpg,dataset\leopard\0309.jpg,leopard
D:\python\dataset\leopard\0310.jpg,dataset\leopard\0310.jpg,leopard
D:\python\dataset\leopard\0311.jpg,dataset\leopard\0311.jpg,leopard
D:\python\dataset\leopard\0312.jpg,dataset\leopard\0312.jpg,leopard
D:\python\dataset\leopard\0313.jpg,dataset\leopard\0313.jpg,leopard
D:\python\dataset\leopard\0314.jpg,dataset\leopard\0314.jpg,leopard
D:\python\dataset\leopard\0315.jpg,dataset\leopard\0315.jpg,leopard
D:\python\dataset\leopard\0316.jpg,dataset\leopard\0316.jpg,leopard
D:\python\dataset\leopard\0317.jpg,dataset\leopard\0317.jpg,leopard
D:\python\dataset\leopard\0318.jpg,dataset\leopard\0318.jpg,leopard
D:\python\dataset\leopard\0319.jpg,dataset\leopard\0319.jpg,leopard
D:\python\dataset\leopard\0320.jpg,dataset\leopard\0320.jpg,leopard
D:\python\dataset\leopard\0321.jpg,dataset\leopard\0321.jpg,leopard
D:\python\dataset\leopard\0322.jpg,dataset\leopard\0322.jpg,leopard
D:\python\dataset\leopard\0323.jpg,dataset\leopard\0323.jpg,leopard
D:\python\dataset\leopard\0324.jpg,dataset\leopard\0324.jpg,leopard
D:\python\dataset\leopard\0325.jpg,dataset\leopard\0325.jpg,leopard
D:\python\dataset\leopard\0326.jpg,dataset\leopard\0326.jpg,leopard
D:\python\dataset\leopard\0327.jpg,dataset\leopard\0327.jpg,leopard
D:\python\dataset\leopard\0328.jpg,dataset\leopard\0328.jpg,leopard
D:\python\dataset\leopard\0329.jpg,dataset\leopard\0329.jpg,leopard
D:\python\dataset\leopard\0330.jpg,dataset\leopard\0330.jpg,leopard
D:\python\dataset\leopard\0331.jpg,dataset\leopard\0331.jpg,leopard
D:\python\dataset\leopard\0332.jpg,dataset\leopard\0332.jpg,leopard
D:\python\dataset\leopard\0333.jpg,dataset\leopard\0333.jpg,leopard
D:\python\dataset\leopard\0334.jpg,dataset\leopard\0334.jpg,leopard
D:\python\dataset\leopard\0335.jpg,dataset\leopard\0335.jpg,leopard
D:\python\dataset\leopard\0336.jpg,dataset\leopard\0336.jpg,leopard
D:\python\dataset\leopard\0337.jpg,dataset\leopard\0337.jpg,leopard
D:\python\dataset\leopard\0338.jpg,dataset\leopard\0338.jpg,leopard
D:\python\dataset\leopard\0339.jpg,dataset\leopard\0339.jpg,leopard
D:\python\dataset\leopard\0340.jpg,dataset\leopard\0340.jpg,leopard
D:\python\dataset\leopard\0341.jpg,dataset\leopard\0341.jpg,leopard
D:\python\dataset\leopard\0342.jpg,dataset\leopard\0342.jpg,leopard
D:\python\dataset\leopard\0343.jpg,dataset\leopard\0343.jpg,leopard
D:\python\dataset\leopard\0344.jpg,dataset\leopard\0344.jpg,leopard
D:\python\dataset\leopard\0345.jpg,dataset\leopard\0345.jpg,leopard
D:\python\dataset\leopard\0346.jpg,dataset\leopard\0346.jpg,leopard
D:\python\dataset\leopard\0347.jpg,dataset\leopard\0347.jpg,leopard
D:\python\dataset\leopard\0348.jpg,dataset\leopard\0348.jpg,leopard
D:\python\dataset\leopard\0349.jpg,dataset\leopard\0349.jpg,leopard
D:\python\dataset\leopard\0350.jpg,dataset\leopard\0350.jpg,leopard
D:\python\dataset\leopard\0351.jpg,dataset\leopard\0351.jpg,leopard
D:\python\dataset\leopard\0352.jpg,dataset\leopard\0352.jpg,leopard
D:\python\dataset\leopard\0353.jpg,dataset\leopard\0353.jpg,leopard
D:\python\dataset\leopard\0354.jpg,dataset\leopard\0354.jpg,leopard
D:\python\dataset\leopard\0355.jpg,dataset\leopard\0355.jpg,leopard
D:\python\dataset\leopard\0356.jpg,dataset\leopard\0356.jpg,leopard
D:\python\dataset\leopard\0357.jpg,dataset\leopard\0357.jpg,leopard
