Absolute path,Relative path,Class
D:\Lab on python\Lab-1-var-4\rose_0047.jpg,dataset\rose_0047.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0048.jpg,dataset\rose_0048.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0049.jpg,dataset\rose_0049.jpg,rose
D:\Lab on python\Lab-1-var-4\rose_0050.jpg,dataset\rose_0050.jpg,rose
D:\Lab on python\Lab-1-var-4\tulip_0000.jpg,dataset\tulip_0000.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0001.jpg,dataset\tulip_0001.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0002.jpg,dataset\tulip_0002.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0003.jpg,dataset\tulip_0003.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0004.jpg,dataset\tulip_0004.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0005.jpg,dataset\tulip_0005.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0006.jpg,dataset\tulip_0006.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0007.jpg,dataset\tulip_0007.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0008.jpg,dataset\tulip_0008.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0009.jpg,dataset\tulip_0009.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0010.jpg,dataset\tulip_0010.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0011.jpg,dataset\tulip_0011.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0012.jpg,dataset\tulip_0012.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0013.jpg,dataset\tulip_0013.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0014.jpg,dataset\tulip_0014.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0015.jpg,dataset\tulip_0015.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0016.jpg,dataset\tulip_0016.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0017.jpg,dataset\tulip_0017.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0018.jpg,dataset\tulip_0018.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0019.jpg,dataset\tulip_0019.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0020.jpg,dataset\tulip_0020.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0021.jpg,dataset\tulip_0021.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0022.jpg,dataset\tulip_0022.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0023.jpg,dataset\tulip_0023.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0024.jpg,dataset\tulip_0024.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0025.jpg,dataset\tulip_0025.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0026.jpg,dataset\tulip_0026.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0027.jpg,dataset\tulip_0027.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0028.jpg,dataset\tulip_0028.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0029.jpg,dataset\tulip_0029.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0030.jpg,dataset\tulip_0030.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0031.jpg,dataset\tulip_0031.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0032.jpg,dataset\tulip_0032.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0033.jpg,dataset\tulip_0033.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0034.jpg,dataset\tulip_0034.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0035.jpg,dataset\tulip_0035.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0036.jpg,dataset\tulip_0036.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0037.jpg,dataset\tulip_0037.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0038.jpg,dataset\tulip_0038.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0039.jpg,dataset\tulip_0039.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0040.jpg,dataset\tulip_0040.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0041.jpg,dataset\tulip_0041.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0042.jpg,dataset\tulip_0042.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0043.jpg,dataset\tulip_0043.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0044.jpg,dataset\tulip_0044.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0045.jpg,dataset\tulip_0045.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0046.jpg,dataset\tulip_0046.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0047.jpg,dataset\tulip_0047.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0048.jpg,dataset\tulip_0048.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0049.jpg,dataset\tulip_0049.jpg,tulip
D:\Lab on python\Lab-1-var-4\tulip_0050.jpg,dataset\tulip_0050.jpg,tulip
